Rk_per,Player,Age_per,Team,Pos_per,G_per,GS_per,MP_per,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Awards_per,Rk_adv,Age_adv,Pos_adv,G_adv,GS_adv,MP_adv,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,OWS,DWS,WS,WS/48,OBPM,DBPM,BPM,VORP,Awards_adv
267.0,Trey Jemison,24.0,MEM,C,23.0,14.0,24.9,3.3,5.9,0.551,0.0,0.0,,3.3,5.9,0.551,0.551,0.9,1.1,0.84,2.8,3.0,5.8,1.2,0.5,1.2,1.4,3.0,7.4,,344.0,24.0,C,23.0,14.0,572.0,11.9,0.582,0.0,0.184,11.8,13.7,12.7,7.1,1.0,4.6,18.3,13.5,0.3,0.6,0.9,0.075,-4.7,-0.4,-5.1,-0.4,
268.0,Julian Champagnie,22.0,SAS,SF,74.0,59.0,19.8,2.2,5.4,0.408,1.4,3.7,0.365,0.9,1.7,0.504,0.534,1.0,1.2,0.815,0.6,2.2,2.8,1.4,0.6,0.6,0.8,1.0,6.8,,192.0,22.0,SF,74.0,59.0,1468.0,10.6,0.57,0.689,0.229,3.1,12.2,7.6,9.3,1.6,2.4,11.4,14.4,0.6,1.3,1.8,0.059,-1.8,-0.1,-1.9,0.0,
269.0,Jonathan Isaac,26.0,ORL,PF,58.0,2.0,15.8,2.5,4.9,0.51,0.7,1.9,0.375,1.8,3.0,0.598,0.584,1.0,1.4,0.72,1.3,3.2,4.5,0.5,0.7,1.2,0.5,1.1,6.8,6MOY-9,280.0,26.0,PF,58.0,2.0,914.0,19.2,0.61,0.392,0.287,9.3,24.2,16.7,4.8,2.3,7.1,7.7,16.7,1.5,2.1,3.6,0.188,1.4,2.4,3.8,1.4,6MOY-9
270.0,Cedi Osman,28.0,SAS,SF,72.0,3.0,17.6,2.6,5.3,0.479,1.2,3.1,0.389,1.4,2.3,0.601,0.591,0.5,0.7,0.673,0.3,2.2,2.5,1.7,0.5,0.2,0.7,1.5,6.8,,218.0,28.0,SF,72.0,3.0,1269.0,11.2,0.601,0.576,0.135,2.1,13.3,7.7,13.0,1.3,0.7,10.4,15.1,1.0,0.9,1.9,0.071,-1.7,-0.3,-2.1,0.0,
271.0,Day'Ron Sharpe,22.0,BRK,C,61.0,1.0,15.1,2.8,4.8,0.571,0.1,0.2,0.267,2.7,4.6,0.588,0.578,1.2,2.0,0.61,2.6,3.7,6.4,1.4,0.4,0.7,1.1,2.1,6.8,,279.0,22.0,C,61.0,1.0,921.0,20.0,0.596,0.051,0.418,18.6,27.9,23.1,14.0,1.3,4.3,16.7,19.7,1.6,1.3,2.9,0.152,-0.4,0.4,0.0,0.5,
272.0,Cason Wallace,20.0,OKC,SG,82.0,13.0,20.6,2.6,5.4,0.491,1.2,2.9,0.419,1.5,2.5,0.572,0.602,0.4,0.5,0.784,0.6,1.6,2.3,1.5,0.9,0.5,0.5,1.6,6.8,,160.0,20.0,SG,82.0,13.0,1692.0,12.0,0.612,0.529,0.084,3.6,8.6,6.2,8.9,2.2,2.0,8.9,12.9,1.9,2.1,4.0,0.115,-0.9,1.0,0.1,0.9,
273.0,Robert Williams,26.0,POR,C,6.0,0.0,19.8,2.8,4.3,0.654,0.0,0.0,,2.8,4.3,0.654,0.654,1.2,1.5,0.778,1.8,4.5,6.3,0.8,1.2,1.2,1.2,2.8,6.8,,469.0,26.0,C,6.0,0.0,119.0,17.2,0.684,0.0,0.346,9.8,27.0,17.9,6.3,2.9,5.3,18.9,13.2,0.2,0.2,0.4,0.144,-2.2,2.9,0.7,0.1,
274.0,Dāvis Bertāns,31.0,2TM,PF,43.0,1.0,15.7,2.1,5.4,0.393,1.8,4.7,0.38,0.4,0.8,0.471,0.556,0.7,0.8,0.909,0.2,1.2,1.4,0.8,0.6,0.3,0.4,1.3,6.7,,324.0,31.0,PF,43.0,1.0,674.0,11.6,0.583,0.855,0.141,1.5,8.8,5.1,7.2,1.9,1.7,6.8,17.4,0.5,0.4,0.9,0.061,-0.8,-0.6,-1.4,0.1,
274.0,Dāvis Bertāns,31.0,OKC,PF,15.0,0.0,6.1,0.7,1.7,0.385,0.7,1.6,0.417,0.0,0.1,0.0,0.577,0.9,1.0,0.933,0.1,0.5,0.7,0.6,0.2,0.2,0.1,0.7,2.9,,324.0,31.0,PF,15.0,0.0,91.0,17.3,0.675,0.923,0.577,2.5,9.4,6.1,12.2,1.6,3.1,3.0,16.0,0.3,0.1,0.4,0.229,3.2,0.8,4.0,0.1,
274.0,Dāvis Bertāns,31.0,CHO,PF,28.0,1.0,20.8,2.9,7.4,0.394,2.4,6.3,0.375,0.6,1.1,0.5,0.553,0.6,0.6,0.889,0.3,1.6,1.8,0.9,0.8,0.3,0.6,1.6,8.8,,324.0,31.0,PF,28.0,1.0,583.0,10.7,0.57,0.846,0.087,1.3,8.7,4.9,6.5,1.9,1.4,7.3,17.7,0.2,0.3,0.4,0.034,-1.4,-0.8,-2.3,0.0,
275.0,Jahmi'us Ramsey,22.0,TOR,SG,7.0,1.0,17.3,2.6,5.9,0.439,0.9,3.1,0.273,1.7,2.7,0.632,0.512,0.7,0.9,0.833,0.6,2.6,3.1,1.1,1.0,0.0,1.0,1.4,6.7,,465.0,22.0,SG,7.0,1.0,121.0,10.6,0.538,0.537,0.146,3.6,16.7,10.0,9.1,2.8,0.0,13.8,17.9,-0.1,0.1,0.1,0.021,-3.9,-0.5,-4.4,-0.1,
276.0,Peyton Watson,21.0,DEN,SF,80.0,4.0,18.6,2.6,5.6,0.465,0.6,1.9,0.296,2.0,3.7,0.553,0.516,0.9,1.3,0.67,0.7,2.5,3.2,1.1,0.5,1.1,0.7,1.8,6.7,,188.0,21.0,SF,80.0,4.0,1488.0,11.8,0.539,0.34,0.237,4.3,14.6,9.6,7.4,1.4,5.0,10.5,16.2,0.3,2.2,2.5,0.079,-3.0,0.8,-2.2,-0.1,
277.0,Amir Coffey,26.0,LAC,SF,70.0,13.0,20.9,2.4,5.0,0.472,1.0,2.6,0.38,1.4,2.4,0.571,0.571,0.9,1.0,0.859,0.4,1.7,2.1,1.1,0.6,0.2,0.5,1.5,6.6,,194.0,26.0,SF,70.0,13.0,1460.0,10.0,0.604,0.523,0.202,2.3,8.9,5.7,6.8,1.4,0.9,7.9,12.5,1.6,1.0,2.6,0.084,-1.9,-0.3,-2.2,-0.1,
